110,146,165
108,144,164
110,144,164
111,144,164
105,139,159
90,121,140
84,113,130
76,104,121
74,102,120
70,97,115
67,93,110
62,88,105
56,82,98
58,84,100
62,89,107
62,89,107
59,87,104
44,65,83
47,74,91
49,77,95
52,80,99
55,83,102
59,88,107
63,93,112
63,92,112
64,95,115
73,105,124
81,109,125
82,116,133
90,121,139
98,130,148
101,133,152
115,148,167
120,156,176
118,154,174
117,154,174
116,153,173
115,152,173
116,153,174
117,154,174
119,155,177
120,157,178
121,158,178
120,157,177
122,159,179
108,145,165
107,144,164
108,143,164
102,137,157
87,116,134
83,111,128
78,106,123
76,102,119
72,98,115
66,93,110
65,90,108
57,84,100
51,77,93
54,80,97
57,83,100
56,83,100
54,82,99
46,70,89
44,69,90
46,73,92
51,78,96
53,81,99
54,83,100
59,87,107
58,87,106
62,92,110
70,99,118
213,193,167
85,116,133
90,120,137
95,127,144
100,132,151
101,134,153
108,142,160
121,155,174
123,159,179
120,155,176
118,154,175
117,153,174
118,155,174
119,156,176
121,157,177
120,157,177
122,158,178
123,160,181
107,144,165
107,142,164
99,132,153
87,116,131
77,105,122
75,103,120
75,101,118
72,96,114
69,96,113
64,90,108
58,84,101
54,79,96
49,75,91
49,74,91
51,77,94
53,81,98
52,78,95
45,63,81
41,64,84
44,71,91
46,74,93
51,78,96
54,81,100
55,83,101
55,83,100
59,88,104
191,175,165
192,177,166
88,114,131
85,116,133
92,122,139
97,129,146
101,133,152
104,136,155
109,142,159
118,151,170
126,161,180
124,160,180
120,157,177
120,156,176
118,155,175
119,156,177
120,158,177
122,159,180
124,160,181
104,140,162
92,121,139
87,116,130
81,109,125
74,100,116
71,96,113
70,96,113
68,94,111
66,92,109
60,86,102
54,80,97
51,76,93
48,70,88
45,68,87
46,70,89
49,74,92
49,75,92
38,58,80
38,62,81
41,65,85
45,70,90
46,73,91
49,76,93
51,78,95
52,80,97
61,87,104
196,178,169
197,178,169
110,127,137
86,115,132
90,120,137
97,128,146
100,131,150
101,134,153
106,138,156
111,143,159
113,146,163
125,159,177
131,165,184
125,162,181
120,158,179
121,157,178
122,159,178
121,158,178
125,161,181
90,122,135
84,112,126
81,107,123
79,105,122
70,96,113
66,93,110
68,94,111
62,89,106
62,88,105
57,83,99
52,78,95
48,72,90
42,65,83
39,63,82
42,66,84
46,71,89
47,72,91
31,55,74
33,59,79
35,61,81
39,63,84
41,65,86
43,68,88
48,74,92
51,79,96
58,81,99
203,186,169
192,178,166
131,146,145
88,115,131
90,119,137
94,126,144
97,129,147
101,133,151
104,132,151
106,138,155
112,146,162
117,150,166
123,155,171
134,167,183
133,168,187
124,161,181
124,161,182
124,160,181
124,161,181
84,110,126
81,106,123
79,105,122
76,103,120
69,96,112
65,91,108
64,91,108
61,87,104
59,84,100
53,78,95
50,74,92
46,69,86
42,64,82
34,59,79
38,62,81
42,66,84
43,66,85
32,52,71
29,56,75
30,57,77
33,59,79
37,62,82
37,63,83
43,68,87
61,76,92
187,168,157
204,183,169
206,189,172
191,177,167
90,115,133
88,119,137
92,125,143
98,130,148
100,131,149
105,136,153
105,136,153
107,139,156
111,144,160
114,147,163
121,154,170
134,167,183
139,172,190
131,167,188
128,164,186
127,163,183
79,105,122
77,103,119
78,105,120
76,103,119
69,95,112
63,89,105
61,87,103
58,83,99
56,81,98
50,76,92
48,72,90
43,65,83
38,59,79
31,55,75
33,57,77
37,61,80
38,62,81
27,49,67
26,52,71
27,53,73
28,55,73
30,56,76
35,60,80
55,72,87
95,93,97
159,147,138
191,174,160
202,185,170
181,171,158
122,130,142
90,117,134
92,122,140
94,126,143
95,127,145
105,136,153
100,130,147
105,136,153
106,139,155
111,144,161
116,150,166
121,154,171
126,160,176
140,174,190
148,178,195
133,169,191
76,102,118
78,104,120
77,103,120
75,102,118
66,90,108
59,84,101
58,83,99
56,82,98
55,80,96
49,74,91
46,69,87
39,61,79
32,55,74
27,51,71
28,52,71
33,57,77
33,57,76
20,44,60
24,48,67
23,50,69
25,51,71
29,53,74
33,57,76
74,74,82
116,110,105
128,122,116
181,166,155
183,166,156
161,152,147
104,117,129
85,113,129
89,122,138
87,117,134
95,125,142
103,133,150
102,130,147
104,136,153
106,138,155
107,141,157
113,147,164
117,150,166
120,154,171
126,159,175
134,167,182
149,179,195
77,103,119
77,103,119
76,102,118
73,99,115
68,93,111
57,84,100
55,81,97
55,80,96
53,78,94
49,73,91
44,67,85
36,59,77
26,49,69
21,47,66
23,48,68
28,52,72
31,54,72
20,41,58
22,45,64
22,45,64
21,47,65
23,49,68
44,57,69
66,68,71
